date	close
18-Mar-14	46.94
11-Mar-14	48.42
04-Mar-14	51.15
25-Feb-14	51.28
18-Feb-14	52.01
11-Feb-14	54.6
04-Feb-14	56.85
28-Jan-14	56.73
21-Jan-14	54.56
14-Jan-14	54.03
07-Jan-14	54.21
31-Dec-13	54.21
24-Dec-13	54.21
17-Dec-13	55.19
10-Dec-13	55.19
03-Dec-13	55.42
26-Nov-13	55.42
19-Nov-13	55.31
12-Nov-13	49.72
05-Nov-13	49.8
29-Oct-13	51.42
22-Oct-13	52.43
15-Oct-13	54.86
08-Oct-13	61.12
01-Oct-13	70.13
24-Sep-13	73.02
17-Sep-13	74.06
10-Sep-13	78.21
03-Sep-13	76.4
27-Aug-13	78.39
20-Aug-13	72.7
13-Aug-13	72.67
06-Aug-13	76.05
30-Jul-13	79.47
23-Jul-13	80.14
16-Jul-13	78.01
09-Jul-13	75.86
02-Jul-13	75.48
25-Jun-13	75.66
18-Jun-13	79.45
11-Jun-13	79.7
04-Jun-13	81.87
28-May-13	84.64
21-May-13	88.9
14-May-13	92.48
07-May-13	92.02
30-Apr-13	92.28
23-Apr-13	92.93
16-Apr-13	92.9
09-Apr-13	95.04
02-Apr-13	95.04
26-Mar-13	95.35
19-Mar-13	95.35
12-Mar-13	95.35
05-Mar-13	95.35
26-Feb-13	95.34
19-Feb-13	94.99
12-Feb-13	94.99
05-Feb-13	95.21
29-Jan-13	95.21
22-Jan-13	95.21
15-Jan-13	95.21
08-Jan-13	95.22
01-Jan-13	98.46
25-Dec-12	98.46
18-Dec-12	98.46
11-Dec-12	98.46
04-Dec-12	98.8
27-Nov-12	98.8
20-Nov-12	98.8
13-Nov-12	98.8
06-Nov-12	99.97
30-Oct-12	100
23-Oct-12	100
16-Oct-12	100
09-Oct-12	100
02-Oct-12	100
25-Sep-12	100
18-Sep-12	100
11-Sep-12	100
04-Sep-12	99.06
28-Aug-12	98.75
21-Aug-12	95.69
14-Aug-12	95.52
07-Aug-12	97.64
31-Jul-12	97.64
24-Jul-12	97.68
17-Jul-12	96.48
10-Jul-12	93.86
03-Jul-12	91.28
26-Jun-12	83.93
19-Jun-12	81.47
12-Jun-12	73.09
05-Jun-12	70.84
29-May-12	65.55
22-May-12	63.46
15-May-12	50.05
08-May-12	48.66
01-May-12	51
24-Apr-12	56.15
17-Apr-12	57.34
10-Apr-12	62.29
03-Apr-12	66.55
27-Mar-12	60.18
20-Mar-12	57.15
13-Mar-12	57.83
06-Mar-12	54.18
28-Feb-12	55.21
21-Feb-12	55.3
14-Feb-12	55.19
07-Feb-12	53.76
31-Jan-12	59.79
24-Jan-12	59.97
17-Jan-12	53.41
